Number,Year,Month,Day,Hour,Minute,Temp,Salinity
1,2019,6,7,14,30,8.114,-9.999
2,2019,6,7,14,35,8.115,-9.999
3,2019,6,7,14,40,8.122,-9.999
4,2019,6,7,14,45,8.126,-9.999
5,2019,6,7,14,50,8.128,-9.999
6,2019,6,7,14,55,8.13,-9.999
7,2019,6,7,15,0,8.13,-9.999
8,2019,6,7,15,5,8.133,-9.999
9,2019,6,7,15,10,8.131,-9.999
10,2019,6,7,15,15,8.135,-9.999
11,2019,6,7,15,20,8.131,-9.999
12,2019,6,7,15,25,8.125,-9.999
13,2019,6,7,15,30,8.127,-9.999
14,2019,6,7,15,35,8.124,-9.999
15,2019,6,7,15,40,8.124,-9.999
16,2019,6,7,15,45,8.12,-9.999
17,2019,6,7,15,50,8.119,-9.999
18,2019,6,7,15,55,8.121,-9.999
19,2019,6,7,16,0,8.123,-9.999
20,2019,6,7,16,5,8.125,-9.999
21,2019,6,7,16,10,8.128,-9.999
22,2019,6,7,16,15,8.127,-9.999
23,2019,6,7,16,20,8.125,-9.999
24,2019,6,7,16,25,8.124,-9.999
25,2019,6,7,16,30,8.123,-9.999
26,2019,6,7,16,35,8.123,-9.999
27,2019,6,7,16,40,8.124,-9.999
28,2019,6,7,16,45,8.127,-9.999
29,2019,6,7,16,50,8.122,-9.999
30,2019,6,7,16,55,8.126,-9.999
31,2019,6,7,17,0,8.125,-9.999
32,2019,6,7,17,5,8.124,-9.999
33,2019,6,7,17,10,8.125,-9.999
34,2019,6,7,17,15,8.128,-9.999
35,2019,6,7,17,20,8.131,-9.999
36,2019,6,7,17,25,8.128,-9.999
37,2019,6,7,17,30,8.131,-9.999
38,2019,6,7,17,35,8.131,-9.999
39,2019,6,7,17,40,8.13,-9.999
40,2019,6,7,17,45,8.128,-9.999
41,2019,6,7,17,50,8.128,-9.999
42,2019,6,7,17,55,8.132,-9.999
43,2019,6,7,18,0,8.139,-9.999
44,2019,6,7,18,5,8.139,-9.999
45,2019,6,7,18,10,8.138,-9.999
46,2019,6,7,18,15,8.132,-9.999
47,2019,6,7,18,20,8.122,-9.999
48,2019,6,7,18,25,8.122,-9.999
49,2019,6,7,18,30,8.118,-9.999
50,2019,6,7,18,35,8.118,-9.999
51,2019,6,7,18,40,8.122,-9.999
52,2019,6,7,18,45,8.116,-9.999
53,2019,6,7,18,50,8.114,-9.999
54,2019,6,7,18,55,8.109,-9.999
55,2019,6,7,19,0,8.106,-9.999
56,2019,6,7,19,5,8.103,-9.999
57,2019,6,7,19,10,8.101,-9.999
58,2019,6,7,19,15,8.104,-9.999
59,2019,6,7,19,20,8.106,-9.999
60,2019,6,7,19,25,8.105,-9.999
61,2019,6,7,19,30,8.103,-9.999
62,2019,6,7,19,35,8.103,-9.999
63,2019,6,7,19,40,8.099,-9.999
64,2019,6,7,19,45,8.098,-9.999
65,2019,6,7,19,50,8.097,-9.999
66,2019,6,7,19,55,8.093,-9.999
67,2019,6,7,20,0,8.095,-9.999
68,2019,6,7,20,5,8.093,-9.999
69,2019,6,7,20,10,8.1,-9.999
70,2019,6,7,20,15,8.096,-9.999
71,2019,6,7,20,20,8.092,-9.999
72,2019,6,7,20,25,8.096,-9.999
73,2019,6,7,20,30,8.097,-9.999
74,2019,6,7,20,35,8.099,35.0599
75,2019,6,7,20,40,8.099,35.0599
76,2019,6,7,20,45,8.101,35.0609
77,2019,6,7,20,50,8.102,35.0599
78,2019,6,7,20,55,8.102,35.0609
79,2019,6,7,21,0,8.1,35.0599
