,Conc 1 - 40rpm,Conc 1 - 60rpm,Conc 1 - 80rpm,Conc 2 - 40rpm,Conc 2 - 60rpm,Conc 2 - 80rpm,Conc 3 - 40rpm,Conc 3 - 60rpm,Conc 3 - 80rpm,HA - 40rpm,HA - 60rpm,HA - 80rpm
Stage 2,0.005596623,0.009671649,0.044362003,0.009406644,0.013409122,0.015121627,0.009066924,0.011320796,0.010146491,0.021417055,0.02189304,0.031157466
Stage 3,0.037201862,0.040803941,0.062087371,0.040023347,0.035151201,0.030364786,0.019490392,0.01824788,0.021009052,0.059885001,0.049327115,0.074617129
Stage 4,0.144184066,0.146031856,0.145471971,0.091650308,0.113937666,0.088958852,0.046924216,0.046358004,0.044166687,0.164295171,0.192871537,0.219352761
Stage 5,0.326806399,0.360960773,0.337387851,0.200752547,0.193303143,0.207930384,0.104040057,0.093127121,0.10696921,0.300208187,0.388498753,0.495013317
Stage 6,0.641355045,0.569790734,0.496019032,0.363236634,0.32259044,0.382209295,0.181166017,0.208085024,0.378469712,0.579181,0.680221604,0.82286004
Stage 7,1.149534709,0.934334821,0.954566485,0.652519245,0.563979221,0.931037911,0.31357841,0.433708884,0.816053235,1.008075171,1.345801842,1.506412335
Stage 8,1.456576907,2.634461,3.983077933,1.008007247,1.807862414,3.827294713,0.865223878,1.467490466,2.562008255,1.134085788,1.880682655,2.748795406
Stage 9,3.344743238,6.785333809,13.11292077,3.747287524,6.097432263,12.58487183,3.232048186,5.83544136,8.707499043,2.41795927,5.261961707,8.81513466
Stage 10,10.76876709,18.54962864,31.73330496,9.453872627,16.83058226,41.87965526,9.917482651,18.45778115,33.95309739,4.228754705,8.942642094,19.10891371
Stage 11,32.93980709,53.66789201,118.8809628,25.32699662,51.78884861,100.5448815,28.49054146,55.9093492,94.87357766,15.71500298,32.15811441,41.62950305
Stage 12,86.76711638,190.2493949,293.1533784,68.53963968,135.3687766,428.7736307,77.32120256,149.569744,223.0410952,55.24489694,90.1296729,122.3934753
Stage 13,132.0019715,262.1588736,497.3426653,77.09185847,164.1156587,499.5902408,94.36541802,207.0728319,327.7956064,55.72886612,115.4790292,124.4370919
Stage 14,79.93060354,214.9628438,423.5510447,38.52052973,91.51289362,307.8206407,49.78191237,108.4260639,190.2342035,17.05809689,43.79130074,37.59018879
Stage 15,28.16030774,24.73694757,115.2444937,5.495780482,19.92801514,127.0659249,6.853452123,22.6725818,64.81000796,1.040633146,7.179796749,3.184765707
